iter	Logloss
0	0.6748138428
1	0.6576449585
2	0.6402783966
3	0.6242709732
4	0.6085441971
5	0.5939703369
6	0.5790679932
7	0.5647477722
8	0.5519536209
9	0.5396127319
10	0.5278184891
11	0.5161650467
12	0.5045082092
13	0.4943310547
14	0.4841802216
15	0.4758948517
16	0.4671833038
17	0.4579118729
18	0.4481943512
19	0.4400468445
20	0.4333096695
21	0.4263570023
22	0.4196820831
23	0.4129142761
24	0.4066963959
25	0.3999623489
26	0.3931732941
27	0.3871549988
28	0.3806886292
29	0.3742660904
30	0.3681740189
31	0.3624756241
32	0.3568677521
33	0.3515312195
34	0.3464225006
35	0.3413856888
36	0.3366901398
37	0.3319423676
38	0.3267760468
39	0.3232373047
40	0.3192035675
41	0.3146445084
42	0.3101622009
43	0.3059694672
44	0.3020298767
45	0.2983995056
46	0.2948083305
47	0.2909594727
48	0.2873960114
49	0.283888588
