iter	Passed	Remaining
0	1	630
1	2	536
2	2	483
3	3	455
4	4	439
5	5	426
6	5	416
7	6	408
8	7	400
9	8	405
10	9	401
11	9	398
12	10	393
13	11	388
14	11	387
15	12	385
16	13	382
17	14	380
18	14	376
19	15	374
20	16	374
21	17	372
22	17	370
23	18	368
24	19	366
25	20	365
26	20	364
27	21	363
28	22	363
29	23	361
30	23	360
31	24	360
32	25	361
33	26	361
34	27	363
35	28	364
36	29	364
37	29	362
38	30	361
39	31	360
40	32	359
41	32	357
42	33	356
43	34	354
44	35	353
45	35	353
46	36	351
47	37	350
48	37	349
49	38	348
50	39	347
51	40	346
52	40	345
53	41	344
54	42	343
55	43	342
56	43	341
57	44	341
58	45	342
59	46	342
60	47	342
61	48	341
62	49	340
63	49	339
64	50	338
65	51	337
66	52	337
67	52	336
68	53	335
69	54	335
70	55	334
71	56	334
72	57	333
73	57	332
74	58	331
75	59	330
76	60	330
77	60	329
78	61	328
79	62	328
80	63	328
81	64	328
82	65	327
83	66	327
84	66	326
85	67	325
86	68	324
87	69	323
88	69	322
89	70	321
90	71	321
91	72	320
92	72	318
93	73	318
94	74	317
95	75	317
96	76	316
97	76	315
98	77	314
99	78	313
100	79	312
101	79	311
102	80	310
103	81	309
104	82	309
105	83	309
106	84	308
107	84	308
108	85	308
109	87	308
110	87	308
111	88	307
112	89	307
113	90	307
114	91	306
115	92	306
116	93	306
117	94	305
118	94	303
119	95	303
120	96	302
121	97	301
122	97	300
123	98	299
124	99	298
125	100	297
126	101	296
127	101	296
128	102	295
129	103	295
130	104	294
131	105	294
132	106	293
133	107	292
134	107	291
135	108	290
136	109	289
137	110	288
138	110	287
139	111	287
140	112	286
141	113	285
142	114	284
143	114	283
144	115	282
145	116	281
146	116	280
147	117	279
148	118	279
149	119	278
150	120	277
151	120	276
152	121	275
153	122	274
154	123	274
